source_bias,id_event,id_article,id_sentence,sentence_text
1,1,1.0,t,"""Dan Johnson suicide : Lawmaker impeach of molesting teen killed himself . His widow visit it a ' high - tech lynching . '"""
1,1,1.0,t,"""Dan Johnson suicide : Lawmaker accused of molesting teen drink down himself . His widow calls it a ' high - technical school lynching . '"""
1,1,1.0,t,"""Dan Johnson suicide : Lawmaker accused of molesting adolescent toss off himself . His widow calls it a ' high - tech lynching . '"""
1,1,1.0,t,"""Dan Johnson suicide : Lawmaker accused of molesting teen killed himself . His widow calls it a ' high - technical school lynching . '"""
1,1,1.0,0,"""LOUISVILLE - Dan Johnson mail a final message on Facebook to his friends and family on Wednesday good afternoon ."""
1,1,1.0,0,"""LOUISVILLE - Dan Johnson posted a final message on Facebook to his Quaker and family on Wednesday good afternoon ."""
1,1,1.0,0,"""LOUISVILLE - Dan Johnson posted a final subject matter on Facebook to his acquaintance and family on Wednesday afternoon ."""
1,1,1.0,0,"""LOUISVILLE - Dan Johnson posted a final message on Facebook to his friends and family on Wednesday good afternoon ."""
1,1,1.0,1,"""It look to be a cheerio ."""
1,1,1.0,1,"""It come along to be a adieu ."""
1,1,1.0,1,"""It come out to be a sayonara ."""
1,1,1.0,1,"""It appear to be a adios ."""
1,1,1.0,2,"""In it , he denied the accusal that had tormented him and his family for the past 48 hour - that he , a Kentucky state representative and the self - proclaimed "" Pope "" of his Louisville church - had gotten drunk and molested a 17 - year - old girl during"""
1,1,1.0,2,"""In it , he denied the accusations that had tormented him and his family for the past 48 hours - that he , a Kentucky state example and the self - proclaimed "" Pope "" of his Louisville church - had gotten drunk and harass a 17 - year - old girl during"""
1,1,1.0,2,"""In it , he denied the charge that had tormented him and his family for the past 48 hours - that he , a Kentucky state representative and the self - proclaimed "" Pope "" of his Louisville church - had sustain drunk and molested a 17 - year - old girl during"""
1,1,1.0,2,"""In it , he abnegate the accusations that had tormented him and his family for the past 48 hours - that he , a Kentucky state representative and the self - proclaimed "" Pope "" of his Louisville church - had gotten drunk and molested a 17 - year - old girl during"""
1,1,1.0,3,""" GOD knows the truth , nothing is the way they give it out to be , "" he wrote in the since - deleted situation ."""
1,1,1.0,3,""" GOD knows the verity , nothing is the way they make it out to be , "" he wrote in the since - deleted place ."""
1,1,1.0,3,""" GOD knows the verity , nothing is the way they build it out to be , "" he wrote in the since - deleted post ."""
1,1,1.0,3,""" GOD sleep together the truth , nothing is the style they make it out to be , "" he wrote in the since - deleted post ."""
1,1,1.0,4,""" I can not do by it any longer ."""
1,1,1.0,4,""" I can not cover it any longer ."""
1,1,1.0,4,""" I can not wield it any longer ."""
1,1,1.0,5,"""BUT HEAVEN IS MY domicile . """
1,1,1.0,5,"""BUT HEAVEN IS MY rest home . """
1,1,1.0,5,"""BUT HEAVEN IS MY base . """
1,1,1.0,5,"""BUT HEAVEN IS MY dwelling . """
1,1,1.0,6,"""Johnson then drove to a graffiti - covered span outside of Mount Washington , Ky. , a quiet and isolated spot name the River Bottoms ."""
1,1,1.0,6,"""Johnson then drove to a graffiti - breed bridge outside of Mount Washington , Ky. , a quiet and isolated spot called the River Bottoms ."""
